pid,title,published_date,event_date,url
7710,106年07月28日天然災害停止辦公及上課情形,2017-07-31,2017-07-28,https://www.dgpa.gov.tw/information?uid=374&pid=7710
7677,106年06月18日天然災害停止辦公及上課情形,2017-06-27,2017-06-18,https://www.dgpa.gov.tw/information?uid=374&pid=7677
7672,106年06月17日天然災害停止辦公及上課情形,2017-06-23,2017-06-17,https://www.dgpa.gov.tw/information?uid=374&pid=7672
7671,106年06月16日天然災害停止辦公及上課情形,2017-06-23,2017-06-16,https://www.dgpa.gov.tw/information?uid=374&pid=7671
7511,106年06月15日天然災害停止辦公及上課情形,2017-06-16,2017-06-15,https://www.dgpa.gov.tw/information?uid=374&pid=7511
7510,106年06月05日天然災害停止辦公及上課情形,2017-06-16,2017-06-05,https://www.dgpa.gov.tw/information?uid=374&pid=7510
7483,106年06月04日天然災害停止辦公及上課情形,2017-06-05,2017-06-04,https://www.dgpa.gov.tw/information?uid=374&pid=7483
7482,106年06月03日天然災害停止辦公及上課情形,2017-06-05,2017-06-03,https://www.dgpa.gov.tw/information?uid=374&pid=7482
7460,106年06月02日天然災害停止辦公及上課情形,2017-06-03,2017-06-02,https://www.dgpa.gov.tw/information?uid=374&pid=7460
7459,106年05月18日天然災害停止辦公及上課情形,2017-06-03,2017-05-18,https://www.dgpa.gov.tw/information?uid=374&pid=7459
7041,105年10月13日天然災害停止辦公及上課情形,2016-10-14,2016-10-13,https://www.dgpa.gov.tw/information?uid=374&pid=7041
7040,105年10月12日天然災害停止辦公及上課情形,2016-10-12,2016-10-12,https://www.dgpa.gov.tw/information?uid=374&pid=7040
7039,105年10月11日天然災害停止辦公及上課情形,2016-10-11,2016-10-11,https://www.dgpa.gov.tw/information?uid=374&pid=7039
7038,105年10月07日天然災害停止辦公及上課情形,2016-10-07,2016-10-07,https://www.dgpa.gov.tw/information?uid=374&pid=7038
7037,105年09月30日天然災害停止辦公及上課情形,2016-10-04,2016-09-30,https://www.dgpa.gov.tw/information?uid=374&pid=7037
